               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10391,            0.032256,                   0,            0.048967,             0.36375,            0.041473,            0.011221,            0.037632,            0.021076,                   0,              0.0705,           0.0032778,           0.0032778
                   1,             0.07006,            0.027016,                   0,              0.3798,              0.3871,             0.28799,             0.07923,            0.028077,            0.014774,                   0,            0.040435,           0.0065457,           0.0065457
                   2,            0.066577,            0.023548,                   0,             0.55444,              0.6129,             0.54352,             0.17052,            0.029658,            0.012199,                   0,            0.010303,           0.0097475,           0.0097475
                   3,            0.063209,            0.021745,                   0,             0.69846,             0.54839,             0.64109,             0.24816,            0.027714,            0.010105,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.06183,            0.021651,                   0,             0.49479,             0.41935,             0.46561,             0.18486,            0.024316,            0.010925,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.051072,            0.020924,                   0,             0.61789,             0.56452,             0.65806,             0.26762,            0.023397,           0.0091656,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04988,            0.019198,                   0,             0.41578,             0.66129,             0.51008,             0.21777,            0.022786,           0.0087514,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.05095,            0.019256,                   0,             0.81102,             0.74194,             0.80618,             0.36206,            0.018933,           0.0086886,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.049412,            0.020141,                   0,             0.58751,             0.64327,             0.58161,             0.20259,            0.024046,           0.0080392,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048726,            0.018762,                   0,              0.8746,               0.675,             0.81295,             0.34293,            0.019364,           0.0080078,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.044802,            0.018872,                   0,             0.87685,             0.77419,             0.84545,             0.35756,            0.019514,           0.0079118,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.040864,            0.018671,                   0,             0.79782,             0.82747,             0.85978,             0.36001,            0.019585,           0.0077626,                   0,             0.00901,             0.00901,             0.00901
                  12,              0.0414,            0.019181,                   0,             0.85371,             0.77419,             0.87955,             0.41978,            0.019367,           0.0073312,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039569,            0.017834,                   0,             0.88499,             0.87097,             0.92246,             0.42241,            0.017257,           0.0073483,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038964,            0.017996,                   0,             0.88003,             0.80645,             0.91219,             0.46076,             0.01696,           0.0070611,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040059,            0.018431,                   0,             0.94025,             0.83871,             0.93334,             0.50466,             0.01438,           0.0074323,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036514,            0.017881,                   0,             0.86552,             0.87097,             0.93832,             0.47861,            0.017006,           0.0068569,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.037628,            0.017143,                   0,             0.92498,             0.83871,             0.94613,             0.45822,            0.016779,           0.0068324,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035457,            0.017286,                   0,             0.88621,             0.87097,             0.93944,             0.43494,            0.015787,           0.0068852,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.037264,            0.017321,                   0,             0.84902,             0.85484,             0.92256,             0.49999,            0.015572,           0.0072277,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.032036,            0.016068,                   0,             0.89341,             0.83871,             0.94057,             0.46365,            0.015943,           0.0071453,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034162,            0.016896,                   0,             0.87817,             0.80645,             0.89974,             0.42247,            0.017677,           0.0071171,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.033167,            0.016201,                   0,             0.90811,              0.8871,             0.94381,             0.52875,             0.01434,           0.0066073,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.032428,             0.01489,                   0,             0.94212,             0.90323,             0.95677,             0.51395,            0.014573,           0.0066815,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.034752,            0.016131,                   0,             0.90561,             0.92858,             0.95791,             0.54339,            0.013292,           0.0065444,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033889,            0.016035,                   0,             0.92685,             0.90323,             0.96367,             0.56471,            0.013123,           0.0064426,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.032564,            0.015829,                   0,             0.93513,              0.8871,              0.9672,             0.53047,            0.013966,           0.0063957,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032535,            0.014963,                   0,             0.89602,             0.90323,             0.96594,             0.54631,             0.01375,           0.0062919,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.031948,            0.015106,                   0,             0.91837,             0.90734,             0.96354,             0.57827,            0.012733,           0.0061901,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028966,            0.014192,                   0,             0.92707,             0.90323,             0.97013,             0.56285,            0.013433,           0.0061162,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.030459,            0.015514,                   0,             0.93327,             0.90237,             0.95594,             0.57936,            0.013136,           0.0061161,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.030006,            0.014995,                   0,             0.93385,              0.8871,             0.96076,             0.57034,            0.012909,           0.0062124,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.031532,            0.016093,                   0,                0.93,             0.85718,              0.9198,             0.49011,              0.0142,           0.0061418,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.030086,            0.014489,                   0,             0.92661,             0.87097,             0.95812,             0.55604,            0.012851,           0.0062557,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.029144,            0.012912,                   0,             0.94802,             0.88251,             0.96184,             0.52411,            0.014111,           0.0059808,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031552,            0.014148,                   0,             0.96648,             0.91935,             0.98469,             0.55741,            0.014301,           0.0059057,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.030218,            0.013806,                   0,             0.98168,             0.86456,             0.97558,             0.60067,            0.012061,           0.0058182,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028468,            0.013995,                   0,             0.90606,             0.93347,             0.97238,             0.58526,             0.01326,           0.0059065,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.028184,            0.014617,                   0,             0.83603,             0.90463,             0.92836,              0.5869,            0.013637,           0.0062442,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029365,            0.015197,                   0,              0.9138,              0.8871,             0.94548,             0.55236,            0.014653,           0.0061553,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029584,            0.014355,                   0,             0.94768,             0.87656,             0.96977,             0.55562,             0.01357,           0.0062273,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02794,            0.013673,                   0,             0.96546,             0.90162,             0.97369,             0.56717,             0.01298,           0.0059851,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026582,            0.014077,                   0,             0.91242,             0.95161,             0.97606,             0.56889,            0.012637,           0.0060492,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027817,            0.014339,                   0,              0.9164,             0.91935,              0.9728,             0.53799,            0.014216,           0.0060629,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027011,            0.013292,                   0,             0.91346,             0.90323,             0.96373,             0.55117,            0.013481,           0.0057841,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026211,            0.013616,                   0,              0.9178,             0.90049,             0.96206,             0.58229,            0.012758,           0.0058292,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025703,              0.0138,                   0,             0.95731,             0.93548,              0.9776,              0.5968,            0.012432,           0.0056411,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026365,            0.013552,                   0,             0.93231,             0.88858,             0.96462,             0.57624,              0.0135,            0.005893,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026915,            0.013574,                   0,             0.95134,             0.94612,             0.96866,             0.57327,            0.013362,           0.0059038,                   0,            0.005347,            0.005347,            0.005347
